Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2022/23 Salary,Salary
Desmond Bane,SG,24,MEM,44,44,31.3,7.6,16.2,0.468,2.9,7.0,0.411,4.7,9.1,0.512,0.558,3.2,3.6,0.893,0.7,4.3,5.0,4.2,0.9,0.4,2.0,2.5,21.3,2130240,2130240
Dalano Banton,PG,23,TOR,27,2,9.3,1.7,4.1,0.411,0.5,1.7,0.283,1.2,2.4,0.5,0.469,0.6,0.7,0.789,0.3,1.0,1.3,1.1,0.5,0.4,0.6,1.1,4.4,1563518,1563518
Dominick Barlow,SF,19,SAS,14,0,11.0,1.2,2.4,0.515,0.0,0.3,0.0,1.2,2.1,0.586,0.515,0.7,0.9,0.769,1.4,1.3,2.6,0.6,0.2,0.3,0.6,1.8,3.1,508891,508891
Harrison Barnes,PF,30,SAC,66,66,33.0,4.6,9.7,0.476,1.6,4.4,0.369,3.0,5.3,0.564,0.559,4.2,5.0,0.844,1.0,3.7,4.7,1.6,0.7,0.2,1.1,1.3,15.1,18352273,18352273
Scottie Barnes,PF,21,TOR,65,64,35.3,6.1,13.4,0.452,0.9,3.1,0.302,5.1,10.4,0.496,0.486,2.6,3.4,0.772,2.4,4.6,7.0,4.8,1.0,0.9,2.0,2.3,15.6,7644600,7644600
RJ Barrett,SG,22,NYK,63,63,34.2,7.1,16.4,0.43,1.7,5.5,0.317,5.3,11.0,0.487,0.483,4.0,5.3,0.746,0.9,4.3,5.2,2.7,0.5,0.2,2.2,2.5,19.8,10900634,10900634
Will Barton,SG,32,TOT,45,0,18.5,2.6,6.6,0.386,1.2,3.3,0.374,1.3,3.4,0.397,0.478,0.8,1.0,0.778,0.2,2.3,2.5,2.2,0.4,0.2,1.0,1.0,7.1,15059712,15059712
Charles Bassey,C,22,SAS,34,2,14.7,2.5,3.9,0.647,0.1,0.2,0.375,2.4,3.7,0.664,0.658,0.6,1.1,0.595,2.2,3.5,5.7,1.4,0.4,0.9,1.2,2.1,5.8,2674742,2674742
Keita Bates-Diop,SF,27,SAS,53,30,21.2,3.2,6.5,0.494,0.6,1.8,0.344,2.6,4.8,0.549,0.54,1.5,1.9,0.786,1.1,2.4,3.5,1.4,0.7,0.3,0.8,1.0,8.6,1878720,1878720
Nicolas Batum,PF,34,LAC,65,12,21.9,2.0,4.9,0.415,1.5,4.0,0.378,0.5,0.9,0.576,0.569,0.5,0.7,0.682,0.9,3.3,4.2,1.4,0.6,0.6,0.7,1.9,6.0,19700319,19700319
Darius Bazley,PF,22,TOT,38,1,15.1,1.9,4.3,0.442,0.5,1.3,0.388,1.4,3.1,0.466,0.5,0.9,1.7,0.554,0.8,2.6,3.4,0.9,0.5,0.8,0.6,1.0,5.3,4264628,4264628
Bradley Beal,SG,29,WAS,46,46,33.5,8.9,17.7,0.506,1.6,4.4,0.361,7.3,13.3,0.553,0.55,3.7,4.4,0.842,0.8,3.0,3.8,5.4,0.9,0.7,2.9,2.0,23.2,43279250,43279250
Malik Beasley,SG,26,TOT,67,23,26.6,4.7,12.0,0.392,3.0,8.4,0.353,1.7,3.6,0.481,0.516,0.6,0.8,0.811,0.4,3.1,3.6,1.6,0.8,0.1,1.1,1.4,13.0,15558035,15558035
MarJon Beauchamp,SF,22,MIL,41,9,14.0,2.0,5.0,0.39,0.9,2.9,0.317,1.0,2.1,0.494,0.483,0.5,0.7,0.724,0.8,1.4,2.2,0.6,0.4,0.1,0.9,1.5,5.3,2485200,2485200
Davis Bertans,PF,30,DAL,36,0,10.6,1.4,3.3,0.429,1.1,2.9,0.39,0.3,0.4,0.714,0.601,0.3,0.3,0.833,0.2,0.8,1.0,0.4,0.3,0.1,0.3,1.1,4.3,16000000,16000000
Patrick Beverley,PG,34,TOT,53,53,27.2,2.2,5.2,0.415,1.2,3.4,0.35,1.0,1.8,0.537,0.529,0.8,1.2,0.721,0.7,2.9,3.6,2.8,0.8,0.6,0.9,2.7,6.3,13801614,13801614
Saddiq Bey,SF,23,TOT,63,32,28.4,4.6,11.0,0.417,2.0,5.5,0.37,2.6,5.5,0.465,0.51,3.0,3.5,0.865,1.1,3.4,4.5,1.5,0.9,0.2,1.0,1.7,14.3,2959080,2959080
Khem Birch,C,30,TOR,20,0,8.1,1.0,1.6,0.594,0.1,0.1,0.5,0.9,1.5,0.6,0.609,0.2,0.3,0.8,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,2.2,6667500,6667500
